交通局     | 1123086  | 42542
兵役局     | 166420   | 20421
勞工局     | 6531507  | 12185
地政局     | 1143464  | 30709
工務局     | 7507708  | 979286
市政府     | 13963190 | 530887
市議會     | 824353   | 76950
捷運工程局 | 2165506  | 28694
教育局     | 42333798 | 15977
文化局     | 2668431  | 34040
新聞局     | 203055   | 6867
民政局     | 1936663  | 92779
水利局     | 6459816  | 366166
法制局     | 70110    | 14365
海洋局     | 595874   | 36491
消防局     | 2045405  | 16169
環境保護局 | 4264947  | 116896
社會局     | 16662524 | 674868
經濟發展局 | 681642   | 68560
衛生局     | 1910628  | 13002
觀光局     | 573532   | 11371
警察局     | 9872935  | 46669
財政局     | 3245946  | 379546
農業局     | 2604718  | 44328
都市發展局 | 413008   | 42820
