交通局       | 2572545  | 289417
勞工局       | 4790165  | 4283
地政局       | 1128206  | 70304
工務局       | 6959245  | 676364
市政府       | 6354294  | 402482
市議會       | 782776   | 86548
捷運工程局   | 3698824  | 95988
教育局       | 42130447 | 638429
文化局       | 1600173  | 40048
新聞局       | 198538   | 4755
民政局       | 1487602  | 48392
水利局       | 6028114  | 638532
法制局       | 66102    | 10795
海洋局       | 830659   | 26962
消防局       | 2100740  | 30703
環境保護局   | 4612832  | 241358
社會局       | 15668441 | 1525465
經濟發展局   | 730352   | 51893
衛生局       | 2270287  | 53126
觀光局       | 603789   | 12426
警察局       | 9728214  | 197596
財政局       | 3154533  | 922118
農業局       | 2297330  | 256625
都市發展局   | 384931   | 12966
