交通局     | 86960   | 2845
兵役處     | 12477   | 609
勞工局     | 299125  | 5062
地政處     | 71440   | 8146
工務局     | 1005107 | 113455
市政府     | 668511  | 47344
市議會     | 57344   | 6573
捷運工程局 | 234635  | 37735
教育局     | 2559954 | 39877
文化局     | 127428  | 4408
民政局     | 88932   | 3842
法制局     | 3804    | 406
海洋局     | 26612   | 1954
消防局     | 116876  | 1034
環境保護局 | 294514  | 12377
社會局     | 714954  | 16577
經濟發展局 | 82735   | 8471
衛生局     | 111856  | 4500
觀光局     | 43463   | 4250
警察局     | 666569  | 9136
財政局     | 292269  | 61328
都市發展局 | 48841   | 6564
