交通局     | 1716021  | 36849
兵役局     | 154578   | 8063
勞工局     | 4656094  | 19609
地政局     | 1240375  | 39339
工務局     | 5951819  | 299815
市政府     | 13960615 | 790836
市議會     | 873650   | 114641
捷運工程局 | 1717512  | 33035
教育局     | 42346386 | 29011
文化局     | 1935511  | 47708
新聞局     | 204000   | 8599
民政局     | 1415798  | 41479
水利局     | 7245578  | 440701
法制局     | 65966    | 9917
海洋局     | 561046   | 22637
消防局     | 2069434  | 25847
環境保護局 | 4496962  | 118067
社會局     | 14301797 | 608443
經濟發展局 | 732766   | 82378
衛生局     | 1750033  | 5210
觀光局     | 410511   | 14277
警察局     | 9892622  | 181973
財政局     | 3340017  | 417975
農業局     | 2033856  | 59099
都市發展局 | 347833   | 31481
