交通局     | 115089  | 5537
兵役處     | 12935   | 914
勞工局     | 328906  | 3982
地政處     | 70956   | 733
工務局     | 910836  | 125441
市政府     | 693566  | 30764
市議會     | 54753   | 5615
捷運工程局 | 1131602 | 92517
教育局     | 2430645 | 39385
文化局     | 127321  | 6702
民政局     | 78252   | 3419
法制局     | 3874    | 701
海洋局     | 27891   | 2314
消防局     | 135959  | 1556
環境保護局 | 329598  | 20379
社會局     | 713664  | 47675
經濟發展局 | 80941   | 4524
衛生局     | 122518  | 2833
觀光局     | 64096   | 9875
警察局     | 610122  | 6917
財政局     | 387145  | 160907
都市發展局 | 27426   | 3297
