兵役處     | 115365595 | 18374921
勞工局     | 292291960 | 15480119
國民住宅處 | 126853000 | 1044347
地政處     | 510314000 | 11570203
工務局     | 8377148200 | 612197592
市政府     | 10302611581 | 1050179779
市議會     | 533331728 | 38590258
建設局     | 1536938071 | 30476822
捷運工程局 |  |
教育局     | 1642363194 | 75888204
民政局     | 758544536 | 45709393
消防局     | 754516310 | 13311713
環境保護局 | 6306187000 | 411895831
社會局     | 4867236491 | 460985770
衛生局     | 1474720367 | 42590663
警察局     | 4427909585 | 33800174
財政局     | 10228778154 | 812834122
