交通局     | 1547406  | 132518
兵役局     | 183792   | 8852
勞工局     | 7735059  | 23832
地政局     | 1226686  | 75195
工務局     | 7815016  | 784388
市政府     | 14407186 | 1569979
市議會     | 872195   | 109837
捷運工程局 | 1808546  | 150967
教育局     | 43352603 | 411100
文化局     | 2234734  | 73116
新聞局     | 261884   | 21978
民政局     | 1422554  | 48229
水利局     | 6211987  | 1211174
法制局     | 74858    | 1461
海洋局     | 598489   | 47600
消防局     | 2487059  | 113857
環境保護局 | 4459279  | 160145
社會局     | 13360067 | 393394
經濟發展局 | 854538   | 106484
衛生局     | 2336771  | 106098
觀光局     | 503240   | 24437
警察局     | 10821150 | 407587
財政局     | 3406522  | 246257
農業局     | 2721964  | 73767
都市發展局 | 557550   | 68926
