交通局     | 94081   | 11930
兵役處     | 11797   | 672
勞工局     | 134816  | 4201
地政處     | 72833   | 4234
工務局     | 542926  | 89700
市政府     | 557022  | 68637
市議會     | 56441   | 7779
建設局     | 91051   | 6292
教育局     | 2169792 | 10365
文化局     | 87908   | 5660
民政局     | 74809   | 3544
法制局     | 4095    | 405
海洋局     | 25414   | 4060
消防局     | 84267   | 1804
環境保護局 | 340994  | 15400
社會局     | 412320  | 25232
衛生局     | 191001  | 26456
警察局     | 560743  | 2660
財政局     | 2831885 | 301254
都市發展局 | 93137   | 13727
