交通局       | 2051228  | 48684
勞工局       | 5121932  | 10430
地政局       | 1118662  | 29185
工務局       | 6691736  | 294742
市政府       | 6552509  | 353765
市議會       | 795993   | 68880
捷運工程局   | 3326373  | 438857
教育局       | 41907041 | 9349
文化局       | 2343416  | 48755
新聞局       | 221252   | 1542
毒品防制局   | 91006    | 23948
民政局       | 1964242  | 52481
水利局       | 6125997  | 417461
法制局       | 75873    | 7249
海洋局       | 733518   | 43273
消防局       | 2133253  | 7610
環境保護局   | 4418229  | 110724
社會局       | 15723622 | 1832663
經濟發展局   | 751186   | 25253
衛生局       | 1984802  | 44598
觀光局       | 673805   | 20762
警察局       | 9735087  | 67889
財政局       | 3173646  | 748163
農業局       | 2014478  | 115504
都市發展局   | 368763   | 14285
