交通局     | 98957   | 4431
兵役處     | 14323   | 1486
勞工局     | 301754  | 2649
地政處     | 71574   | 1657
工務局     | 769603  | 109632
市政府     | 633720  | 29725
市議會     | 55814   | 5040
建設局     | 116136  | 7762
捷運工程局 | 371811  | 8512
教育局     | 2356429 | 35485
文化局     | 85535   | 4415
民政局     | 77055   | 3964
法制局     | 3727    | 182
海洋局     | 24041   | 1515
消防局     | 98398   | 959
環境保護局 | 307780  | 14471
社會局     | 571989  | 17331
衛生局     | 125163  | 5137
警察局     | 617927  | 4772
財政局     | 396236  | 7593
都市發展局 | 29401   | 4242
