交通局     | 155502  | 8587
兵役處     | 13699   | 985
勞工局     | 242676  | 5506
地政處     | 72072   | 3778
工務局     | 853938  | 59130
市政府     | 632819  | 19550
市議會     | 54942   | 4225
建設局     | 102224  | 7721
捷運工程局 | 303393  | 
教育局     | 2299424 | 5105
文化局     | 89982   | 5219
民政局     | 83721   | 6221
法制局     | 4029    | 567
海洋局     | 23022   | 956
消防局     | 101215  | 882
環境保護局 | 316954  | 19277
社會局     | 589102  | 11396
衛生局     | 127270  | 4638
警察局     | 607075  | 6682
財政局     | 436366  | 118805
都市發展局 | 40908   | 6066
