交通局     | 1951548  | 159081
兵役局     | 163161   | 10225
勞工局     | 675035   | 11331
地政局     | 1160230  | 35883
工務局     | 7414196  | 913915
市政府     | 14148326 | 525030
市議會     | 782314   | 81779
捷運工程局 | 1540345  | 176495
教育局     | 42838595 | 30786
文化局     | 1480687  | 32524
新聞局     | 198158   | 7459
民政局     | 1700445  | 132698
水利局     | 5726145  | 520597
法制局     | 67019    | 6871
海洋局     | 660773   | 20119
消防局     | 2106437  | 47711
環境保護局 | 4517460  | 261365
社會局     | 14505648 | 896924
經濟發展局 | 897903   | 46091
衛生局     | 1762297  | 18880
觀光局     | 497652   | 13371
警察局     | 9771920  | 188453
財政局     | 3305064  | 849441
農業局     | 2067796  | 43874
都市發展局 | 414319   | 22477
