交通局     | 166384  | 8836
兵役處     | 13729   | 1136
勞工局     | 244336  | 11853
地政處     | 74387   | 5543
工務局     | 751923  | 51444
市政府     | 589126  | 26354
市議會     | 59237   | 7290
建設局     | 96201   | 8342
捷運工程局 | 1850682 | 8802
教育局     | 2261528 | 6087
文化局     | 92914   | 7560
民政局     | 105726  | 8978
法制局     | 4631    | 285
海洋局     | 26846   | 2170
消防局     | 99283   | 3479
環境保護局 | 334182  | 40149
社會局     | 460169  | 26775
衛生局     | 138812  | 5069
警察局     | 601951  | 4786
財政局     | 469356  | 207599
都市發展局 | 68570   | 17936
