交通局     | 138914  | 13577
兵役局     | 17997   | 1367
勞工局     | 739498  | 4139
地政局     | 131499  | 10709
工務局     | 1008298 | 54642
市政府     | 1550178 | 229885
市議會     | 96819   | 6655
捷運工程局 | 289118  | 9956
教育局     | 4218608 | 15026
文化局     | 182998  | 12135
新聞局     | 24947   | 2694
民政局     | 166961  | 13671
水利局     | 708843  | 171120
法制局     | 7111    | 867
海洋局     | 65135   | 19520
消防局     | 215187  | 4978
環境保護局 | 498120  | 50264
社會局     | 1417673 | 85532
經濟發展局 | 64554   | 5737
衛生局     | 208723  | 8328
觀光局     | 42396   | 2284
警察局     | 1015533 | 15724
財政局     | 396491  | 74636
農業局     | 236317  | 8660
都市發展局 | 55684   | 4344
