交通局     | 74258   | 19140
兵役處     | 11570   | 296
勞工局     | 108366  | 14697
地政處     | 75319   | 3135
工務局     | 685396  | 111099
市政府     | 561677  | 22543
市議會     | 50867   | 2921
建設局     | 85091   | 5842
教育局     | 2237300 | 6159
文化局     | 79058   | 6186
民政局     | 78339   | 5454
法制局     | 4117    | 503
消防局     | 80542   | 2858
港務局     | 25874   | 1989
環境保護局 | 320197  | 14329
社會局     | 399405  | 27714
衛生局     | 169623  | 5454
警察局     | 550936  | 4331
財政局     | 1723827 | 264653
都市發展局 | 52404   | 6833
