交通局     | 121942  | 9578
兵役處     | 14748   | 627
勞工局     | 242878  | 9882
地政處     | 78414   | 3934
工務局     | 623174  | 30401
市政府     | 595744  | 52307
市議會     | 56117   | 4597
建設局     | 98298   | 4860
捷運工程局 | 3175191 | 21619
教育局     | 2220749 | 7445
文化局     | 87591   | 3115
民政局     | 72238   | 1823
法制局     | 3953    | 456
海洋局     | 27799   | 2126
消防局     | 90938   | 2403
環境保護局 | 342488  | 20839
社會局     | 513813  | 21860
衛生局     | 163893  | 5544
警察局     | 568594  | 2673
財政局     | 542260  | 52460
都市發展局 | 80413   | 11268
